# ms,joy_x,joy_y,joy_x_step,joy_y_step,pot_data
44513,1925,1891,-1,-2,0
44596,1923,1882,-1,-2,0
44679,1916,1896,-1,-2,0
44762,1921,1897,-1,-2,0
44845,1926,1897,-1,-2,0
44928,1921,1893,-1,-2,0
45011,1923,1893,-1,-2,0
45094,1926,1893,-1,-2,0
45177,1926,1894,-1,-2,0
45260,1932,1894,-1,-2,0
45343,1918,1895,-1,-2,0
45426,1770,1895,-3,-2,0
45509,919,1895,-9,-2,0
45592,314,1895,-13,-2,0
45675,7,1894,-15,-2,0
45758,2,1880,-15,-2,0
45841,0,1894,-15,-2,0
45924,0,1895,-15,-2,0
46007,0,1895,-15,-2,0
46090,0,1892,-15,-2,0
46173,0,1892,-15,-2,0
46256,0,1892,-15,-2,0
46339,0,1893,-15,-2,0
46422,0,1896,-15,-2,0
46505,0,1909,-15,-2,0
46588,0,1889,-15,-2,0
46671,0,1893,-15,-2,0
46754,0,1883,-15,-2,0
46837,0,1892,-15,-2,0
46920,0,1893,-15,-2,0
47003,0,1893,-15,-2,0
47086,0,1894,-15,-2,0
47169,368,1894,-13,-2,0
47252,1386,1918,-5,-1,0
47335,1929,1906,-1,-2,0
47418,1929,1883,-1,-2,0
47501,1929,1894,-1,-2,0
47584,1929,1897,-1,-2,0
47667,1925,1898,-1,-2,0
47750,1922,1898,-1,-2,0
47833,1925,1898,-1,-2,0
47916,1925,1887,-1,-2,0
47999,1925,1890,-1,-2,0
48082,1929,1895,-1,-2,0
48165,1930,1899,-1,-2,0
48248,1928,1897,-1,-2,0
48331,1927,1897,-1,-2,0
48414,1928,1897,-1,-2,0
48497,1923,1897,-1,-2,0
48580,1920,1898,-1,-2,0
48663,1922,1898,-1,-2,0
48746,1924,1889,-1,-2,0
48829,1925,1892,-1,-2,0
48912,1925,1894,-1,-2,0
48995,1925,1895,-1,-2,0
49078,1925,1895,-1,-2,0
49161,1923,1895,-1,-2,0
49244,1923,1895,-1,-2,0
49327,1926,1895,-1,-2,0
49410,1926,1895,-1,-2,0
49493,1924,1895,-1,-2,0
49576,1912,1893,-1,-2,0
49659,1920,1894,-1,-2,0
49742,1923,1894,-1,-2,0
49825,1926,1894,-1,-2,0
49908,1928,1894,-1,-2,0
49991,1928,1894,-1,-2,0
