--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
217997,1920,1890,-122,-153,-1,-2,4095,99
218080,1926,1898,-118,-153,-1,-2,4095,99
218163,1925,1902,-122,-153,-1,-2,4095,99
218246,1927,1900,-109,-154,-1,-2,4095,99
218329,1931,1898,-117,-153,-1,-2,4095,99
218412,1920,1897,-120,-158,-1,-2,4095,99
218495,1909,1901,-127,-152,-1,-2,4095,99
218578,1922,1898,-125,-152,-1,-2,4095,99
218661,1933,1892,-123,-152,-1,-2,4095,99
218744,1956,1901,-109,-152,-1,-2,4095,99
218827,1930,1897,-117,-149,-1,-2,4095,99
218910,1930,1894,-112,-146,-1,-2,4095,99
218993,1926,1888,-123,-152,-1,-2,4095,99
219076,1929,1911,-123,-147,-1,-2,4095,99
219159,2026,1895,-22,-147,-1,-2,4095,99
219242,1931,1890,-114,-150,-1,-2,4095,99
219325,1929,1959,-121,-104,-1,-1,4095,99
219408,1920,1892,-121,-156,-1,-2,4095,99
219491,1930,1898,-107,-155,-1,-2,4095,99
219574,1931,1897,-117,-153,-1,-2,4095,99
219657,1936,1899,-120,-152,-1,-2,4095,99
219740,1910,1898,-126,-151,-1,-2,4095,99
219823,1933,1899,-124,-151,-1,-2,4095,99
219906,1933,1907,-128,-135,-1,-1,4095,99
219989,1931,1900,-120,-148,-1,-2,4095,99
220072,1928,1898,-110,-148,-1,-2,4095,99
220155,1957,1899,-107,-151,-1,-2,4095,99
220238,1920,1887,-116,-153,-1,-2,4095,99
220321,1926,1895,-122,-153,-1,-2,4095,99
220404,1921,1898,-124,-153,-1,-2,4095,99
220487,1933,1895,-124,-153,-1,-2,4095,99
220570,1927,1899,-122,-159,-1,-2,4095,99
220653,1930,1894,-123,-149,-1,-2,4095,99
220736,1922,1898,-123,-151,-1,-2,4095,99
220819,1930,1904,-124,-151,-1,-2,4095,99
220902,1929,1902,-123,-151,-1,-2,4095,99
220985,1925,1904,-101,-151,-1,-2,4095,99
221068,1915,1887,-120,-145,-1,-2,4095,99
221151,1916,1899,-123,-146,-1,-2,4095,99
221234,1929,1897,-105,-147,-1,-2,4095,99
221317,1929,1903,-132,-149,-1,-2,4095,99
221400,1931,1888,-127,-154,-1,-2,4095,99
221483,1922,1900,-119,-154,-1,-2,4095,99
221566,1929,1893,-119,-162,-1,-2,4095,99
221649,1929,1899,-119,-156,-1,-2,4095,99
221732,1928,1909,-119,-151,-1,-2,4095,99
221815,1920,1899,-119,-139,-1,-2,4095,99
221898,1933,1889,-119,-147,-1,-2,4095,99
221981,1971,1915,-94,-149,-1,-2,4095,99
222064,1937,1888,-114,-152,-1,-2,4095,99
222147,1923,1893,-114,-166,-1,-2,4095,99
222230,1923,1922,-123,-144,-1,-2,4095,99
222313,1913,1893,-123,-150,-1,-2,4095,99
222396,1927,1898,-124,-151,-1,-2,4095,99
222479,1922,1869,-123,-164,-1,-2,4095,99
222562,1930,1899,-120,-160,-1,-2,4095,99
222645,1931,1898,-120,-159,-1,-2,4095,99
222728,1921,1901,-120,-154,-1,-2,4095,99
222811,1933,1888,-121,-173,-1,-2,4095,99
222894,1923,1895,-121,-164,-1,-2,4095,99
222977,1923,1906,-121,-126,-1,-1,4095,99
223060,1927,1899,-129,-148,-1,-2,4095,99
223143,1915,1911,-122,-150,-1,-2,4095,99
223226,1930,1901,-122,-150,-1,-2,4095,99
223309,1914,1894,-122,-150,-1,-2,4095,99
223392,1920,1899,-118,-154,-1,-2,4095,99
223475,1926,1894,-118,-154,-1,-2,4095,99
223558,1923,1897,-118,-154,-1,-2,4095,99
223641,1918,1899,-123,-154,-1,-2,4095,99
