--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Macroboard V1: Advertising Started...
# Sensor debug mode enabled
# CSV columns:
# ms,joy_x_raw,joy_y_raw,joy_x_centered,joy_y_centered,joy_x_step,joy_y_step,pot_raw,pot_pct
15068,1936,1903,-118,-148,-1,-2,4095,99
15151,1933,1904,-115,-148,-1,-2,4095,99
15234,1919,1893,-118,-148,-1,-2,4095,99
15317,1930,1885,-118,-172,-1,-2,4095,99
15400,1927,1899,-118,-160,-1,-2,4095,99
15483,1930,1911,-118,-151,-1,-2,4095,99
15566,1920,1899,-131,-151,-1,-2,4095,99
15649,1933,1895,-125,-151,-1,-2,4095,99
15732,1931,1940,-122,-126,-1,-1,4095,99
15815,1904,1904,-130,-136,-1,-1,4095,99
15898,1931,1897,-125,-162,-1,-2,4095,99
15981,1939,1895,-121,-144,-1,-2,4095,99
16064,1930,1901,-121,-130,-1,-1,4095,99
16147,1914,1893,-138,-144,-2,-2,4095,99
16230,1918,1899,-126,-152,-1,-2,4095,99
16313,1933,1904,-124,-130,-1,-1,4095,99
16396,1929,1898,-121,-147,-1,-2,4095,99
16479,1931,1894,-121,-158,-1,-2,4095,99
16562,1928,1899,-113,-157,-1,-2,4095,99
16645,1919,1885,-119,-163,-1,-2,4095,99
16728,1927,1920,-120,-144,-1,-2,4095,99
16811,1925,1898,-122,-148,-1,-2,4095,99
16894,1924,1899,-141,-148,-2,-2,4095,99
16977,1925,1906,-122,-148,-1,-2,4095,99
17060,1927,1942,-120,-124,-1,-1,4095,99
17143,1929,1895,-120,-145,-1,-2,4095,99
17226,1938,1909,-117,-152,-1,-2,4095,99
17309,1927,1897,-114,-152,-1,-2,4095,99
17392,1914,1898,-122,-152,-1,-2,4095,99
17475,1918,1888,-122,-152,-1,-2,4095,99
17558,1930,1895,-111,-152,-1,-2,4095,99
17641,1929,1891,-117,-173,-1,-2,4095,99
17724,1930,1895,-118,-159,-1,-2,4095,99
17807,1926,1902,-120,-131,-1,-1,4095,99
17890,1926,1904,-130,-142,-1,-2,4095,99
17973,1930,1898,-128,-149,-1,-2,4095,99
18056,1927,1901,-124,-149,-1,-2,4095,99
18139,1943,1898,-118,-154,-1,-2,4095,99
18222,1927,1898,-111,-154,-1,-2,4095,99
18305,1919,1902,-118,-126,-1,-1,4095,99
18388,1921,1918,-118,-138,-1,-2,4095,99
18471,1930,1899,-120,-147,-1,-2,4095,99
18554,1930,1910,-122,-147,-1,-2,4095,99
18637,1936,1900,-124,-150,-1,-2,4095,99
18720,1931,1899,-119,-150,-1,-2,4095,99
18803,1933,1874,-119,-161,-1,-2,4095,99
18886,1929,1893,-119,-156,-1,-2,4095,99
18969,1926,1899,-116,-154,-1,-2,4095,99
19052,1929,1898,-120,-154,-1,-2,4095,99
19135,1926,1887,-120,-153,-1,-2,4095,99
19218,1936,1902,-125,-152,-1,-2,4095,99
19301,1999,1897,-61,-152,-1,-2,4095,99
19384,1935,1898,-131,-152,-1,-2,4095,99
19467,1929,1904,-128,-152,-1,-2,4095,99
19550,1919,1899,-125,-152,-1,-2,4095,99
19633,1922,1903,-116,-151,-1,-2,4095,99
19716,1922,1887,-140,-168,-2,-2,4095,99
19799,1920,1898,-129,-156,-1,-2,4095,99
19882,1927,1899,-128,-155,-1,-2,4095,99
19965,1934,1901,-121,-153,-1,-2,4095,99
20048,1935,1899,-119,-152,-1,-2,4095,99
20131,1931,1899,-123,-152,-1,-2,4095,99
20214,1931,1909,-121,-149,-1,-2,4095,99
20297,1911,1885,-127,-153,-1,-2,4095,99
20380,1931,1899,-125,-156,-1,-2,4095,99
20463,1936,1895,-122,-155,-1,-2,4095,99
20546,1919,1875,-120,-160,-1,-2,4095,99
20629,1925,1869,-137,-166,-1,-2,4095,99
20712,1904,1895,-132,-153,-1,-2,4095,99
20795,1931,1901,-126,-152,-1,-2,4095,99
